id,planning_area_name,inhabitants,status_index,status_index_class,dynamic_index,dynamic_index_class,status_dynamic_index,status_dynamic_index_class
01011101,Stülerstraße,2930,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011102,Großer Tiergarten,180,0,,0,,0,
01011103,Lützowstraße,4818,2,mittel,-,negativ,2-,"Status mittel, Dynamik negativ"
01011104,Körnerstraße,3913,3,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv"
01011105,Nördlicher Landwehrkanal,996,1,hoch,-,negativ,1-,"Status hoch, Dynamik negativ"
01011201,Wilhelmstraße,2078,2,mittel,-,negativ,2-,"Status mittel, Dynamik negativ"
01011202,Unter den Linden Nord,472,1,hoch,+,positiv,1+,"Status hoch, Dynamik positiv"
01011203,Unter den Linden Süd,854,1,hoch,-,negativ,1-,"Status hoch, Dynamik negativ"
01011204,Leipziger Straße,5822,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011301,Charitéviertel,4902,1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
01011302,Oranienburger Straße,12078,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011303,Alexanderplatzviertel,8141,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011304,Karl-Marx-Allee,8279,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011305,Heine-Viertel West,6363,2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv"
01011306,Heine-Viertel Ost,7857,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011401,Invalidenstraße,14026,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011402,Arkonaplatz,12025,1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
01022101,Huttenkiez,3142,3,niedrig,-,negativ,3-,"Status niedrig, Dynamik negativ"
01022102,Beusselkiez,5849,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
01022103,Westhafen,220,0,,0,,0,
01022104,Emdener Straße,17089,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01022105,Zwinglistraße,4887,3,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv"
01022106,Elberfelder Straße,10959,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01022201,Stephankiez,10000,2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv"
01022202,Heidestraße,1492,4,sehr niedrig,-,negativ,4-,"Status sehr niedrig, Dynamik negativ"
01022203,Lübecker Straße,6751,3,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv"
01022204,Thomasiusstraße,5677,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01022205,Zillesiedlung,3063,3,niedrig,-,negativ,3-,"Status niedrig, Dynamik negativ"
01022206,Lüneburger Straße,3016,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01022207,Hansaviertel,5366,2,mittel,-,negativ,2-,"Status mittel, Dynamik negativ"
01033101,Soldiner Straße,24632,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
01033102,Gesundbrunnen,11030,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
01033201,Brunnenstraße,12778,4,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv"
01033202,Humboldthain Süd,9611,3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil"
01033203,Humboldthain Nordwest,13179,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
01044101,Rehberge,19210,3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil"
01044102,Schillerpark,15069,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01044103,Westliche Müllerstraße,7738,3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil"
01044201,Reinickendorfer Straße,22224,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
01044202,Sparrplatz,15894,3,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv"
01044203,Leopoldplatz,15364,4,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv"
02010101,Askanischer Platz,6025,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
02010102,Mehringplatz,12831,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
02010103,Moritzplatz,15351,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
02010104,Wassertorplatz,5031,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
02020201,Gleisdreieck/Entwicklungsgebiet,278,0,,0,,0,
02020202,Rathaus Yorckstraße,5650,2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv"
02020203,Viktoriapark,10169,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
02020204,Urbanstraße,11894,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
