id,inhabitants,status_index,dynamic_index
01011101,3384,2,+/-
01011102,196,,
01011103,5038,2,+/-
01011104,4759,2,+/-
01011105,1421,1,+/-
01011201,2405,2,+/-
01011202,632,1,+/-
01011203,1115,2,+/-
01011204,8279,2,+/-
01011301,6919,1,+/-
01011302,12572,2,+/-
01011303,9999,2,+/-
01011304,8761,2,+/-
01011305,8243,2,+/-
01011306,10607,2,+/-
01011401,17948,2,+/-
01011402,13645,1,+/-
01022101,3557,4,+
01022102,6709,3,+
01022103,272,,
01022104,18974,2,+/-
01022105,5426,3,+
01022106,11421,2,+/-
01022201,11027,2,+/-
01022202,2495,2,+
01022203,7083,3,+/-
01022204,6236,2,+
01022205,3349,3,+/-
01022206,3044,2,+/-
01022207,5771,2,+/-
01033101,27088,4,+/-
01033102,12063,4,+
01033201,13919,4,+/-
01033202,10273,3,+/-
01033203,14684,4,+
01044101,21023,3,+/-
01044102,16630,2,+/-
01044103,8684,3,+/-
01044201,24356,4,+
01044202,17122,3,+/-
01044203,16328,4,+/-
02010101,6823,3,+
02010102,13693,4,+
02010103,15302,4,+
02010104,5086,4,+
02020201,1790,1,+/-
02020202,6099,2,+/-
02020203,11056,2,+/-
02020204,12808,2,+/-
02020205,15107,2,+/-
02020206,19040,2,+/-
02030301,8996,4,+
02030302,13131,2,+
02030401,15263,2,+/-
02030402,11172,2,+
02040501,5390,2,+/-
02040502,7443,2,+/-
02040503,11157,2,+/-
02040701,13151,2,+/-
02040702,10973,2,+/-
02040703,1155,3,+/-
02050601,9124,2,+/-
02050602,21730,2,+/-
02050801,20028,2,+/-
02050802,21280,2,+/-
02050803,7598,2,+/-
02050804,4725,1,+/-
03010101,4119,2,+/-
03010102,12348,2,+/-
03010104,239,,
03020203,2285,1,+/-
03020209,14967,2,+/-
03020210,11488,2,+/-
03020307,18304,2,+/-
03030405,11352,2,-
03030406,8225,1,+/-
03030711,6869,1,+/-
03030715,7664,2,+/-
03030716,1131,1,+/-
03040508,4588,1,+/-
03040512,10074,2,+/-
03040513,3356,1,+/-
03040614,36487,2,+/-
03040818,34800,2,+/-
03050919,5583,2,-
03050920,7430,2,+/-
03050923,9674,2,+/-
03050924,6140,2,+
03050925,9755,2,+/-
03051017,4250,2,+/-
03051021,6468,2,+/-
03051022,4651,2,+/-
03061126,15688,2,+/-
03061131,10755,2,+/-
03061227,14649,2,+/-
03061228,12787,2,+/-
03061332,22873,2,+/-
03061429,10001,2,+/-
03061430,4126,3,-
03061434,6472,2,+/-
03061435,3941,2,+/-
03061441,2660,1,+/-
03071536,11137,2,+/-
03071537,16027,1,+/-
03071633,3229,2,+/-
03071638,17709,2,+/-
03071639,12738,2,+/-
04010101,10785,3,+/-
04010102,812,4,-
04010103,7881,4,+/-
04020204,181,,
04020205,1329,1,+/-
04020206,2869,2,+/-
04020207,2559,1,+/-
04020208,2922,1,+/-
04020209,3214,1,+/-
04020310,616,2,-
04020311,15071,2,+/-
04020312,5552,2,+/-
04020313,7452,2,+/-
04020314,12,,
04030415,3048,2,+
04030416,10652,2,+/-
04030417,10976,2,+/-
04030518,9581,2,+/-
04030519,5901,2,+/-
04030620,8887,2,+/-
04030621,3026,2,+/-
04030622,10833,2,+/-
04030623,5049,2,+/-
04030724,6490,2,+/-
04030725,12302,2,+/-
04030726,5795,2,-
04030827,12235,2,+/-
04030828,9668,2,+/-
04030929,6072,2,+/-
04030930,5649,2,+/-
04030931,3711,2,+/-
04031032,15628,2,+/-
04041133,60,,
04041134,5228,2,+/-
04041135,2829,1,+/-
04041136,3072,1,+/-
04041137,8280,2,+/-
04041238,6086,2,+/-
04041239,353,,
04041240,1522,1,+/-
04041241,7031,1,+/-
04041342,4141,2,+/-
04041343,3556,2,+/-
04041344,10810,2,+/-
04051445,6325,2,+/-
04051446,10778,2,+/-
04051447,5365,2,+/-
04051448,9367,2,+/-
04051549,4642,2,-
04051550,5574,2,+/-
04051551,4518,2,+/-
04051652,9914,2,+/-
04051653,6993,2,+/-
04051654,3055,2,+/-
04051655,7300,2,+/-
04051656,7698,2,+/-
04061757,72,,
05010101,10290,2,+/-
05010102,7193,2,+/-
05010103,7738,2,+/-
05010204,3608,3,+
05010205,1960,1,+/-
05010206,10613,4,+/-
05010207,11618,4,+
05010208,7715,4,+
05010209,6103,2,+/-
05010310,3974,3,+/-
05010311,5681,3,+
05010312,7394,4,+/-
05010313,6916,3,+/-
05010314,12412,2,+/-
05010339,995,2,+
05020415,3862,1,+/-
05020416,1685,2,+/-
05020417,5962,2,-
05020418,4392,2,-
05020419,7117,3,+
05020420,969,2,-
05020521,3235,1,+/-
05020522,7436,4,+/-
05020523,12761,4,+/-
05020524,6328,2,+/-
05020625,7664,2,+/-
05020626,18379,2,+/-
05020627,4440,3,+
05020628,2041,2,-
05020629,4420,2,+/-
05030730,4026,2,+/-
05030731,11699,3,+/-
05030832,12065,2,+/-
05030833,512,2,-
05040934,3539,2,-
05040935,454,2,+/-
05040936,10014,1,+/-
05040937,2195,1,+/-
05040938,3675,1,+/-
06010101,6964,1,+/-
06010102,8836,2,+/-
06010103,6336,2,+/-
06010204,6885,2,+/-
06010205,9823,2,+/-
06010206,7745,2,+/-
06010207,7850,2,+/-
06010208,6715,2,+/-
06010209,9227,2,+/-
06010210,4939,2,+/-
06020301,5034,2,+/-
06020302,5651,2,+/-
06020303,7366,2,+/-
06020304,7211,2,+/-
06020305,11414,2,+/-
06020306,6438,2,+/-
06020407,4644,3,+
06020408,6922,2,+/-
06020409,8282,2,+/-
06020410,7166,2,+/-
06020411,8575,2,+/-
06030501,5748,2,+/-
06030502,5640,2,+/-
06030503,11872,2,+/-
06030504,11062,1,+/-
06030605,7108,2,+/-
06030606,5273,2,+/-
06030607,3118,2,+/-
06030608,13667,1,-
06030609,12208,2,+/-
06030610,8502,1,+/-
06040701,10246,1,+/-
06040702,5506,1,-
06040703,11156,1,+/-
06040804,7609,1,+/-
06040805,5345,1,+/-
06040806,7313,1,+/-
06040807,5927,2,+/-
06040808,4666,1,+/-
06040809,4999,1,+/-
06040810,7089,1,+/-
07010101,9984,2,-
07010102,16634,2,+/-
07010103,10641,2,+/-
07010104,13820,2,+/-
07020201,10705,2,+/-
07020202,10310,2,+/-
07020203,18047,2,+/-
07020204,12184,2,+/-
07030301,24833,2,+/-
07030302,9439,2,+/-
07030303,12399,2,+/-
07040401,18738,2,+/-
07040402,2368,2,+/-
07040403,24316,2,+/-
07040404,5196,2,+
07040405,11060,2,+/-
07040406,4094,4,+
07050501,16725,2,+/-
07050502,8119,2,+/-
07050503,9263,2,+/-
07050504,5652,2,+/-
07050505,10673,2,+/-
07050506,2287,2,+/-
07060601,10199,3,+/-
07060602,4703,2,+/-
07060603,2861,2,+/-
07060604,14592,2,+/-
07070701,10526,2,+/-
07070702,10931,2,+/-
07070703,7640,2,+/-
07070704,8547,4,+/-
07070705,7031,1,+/-
07070706,3936,2,-
07070707,2976,2,-
08010115,880,2,+
08010116,3697,4,+/-
08010117,16138,2,+/-
08010118,11891,4,+
08010211,10029,3,+
08010212,7475,4,+
08010213,12455,3,+
08010214,8197,4,+/-
08010301,27732,2,+/-
08010302,3696,3,+/-
08010303,8418,3,+
08010404,23741,3,+/-
08010405,9049,2,+/-
08010406,7143,4,+/-
08010407,799,3,+/-
08010508,5772,4,+
08010509,9459,4,+/-
08010510,480,4,-
08020619,11646,4,+
08020620,9354,3,+/-
08020621,2346,1,+/-
08020622,14211,2,+/-
08020623,1281,2,+/-
08020624,1410,2,+/-
08020625,3319,2,+/-
08020726,8403,2,+/-
08020727,12013,2,+/-
08020728,8851,3,+/-
08030829,12437,4,+/-
08030830,7415,2,+
08030831,17564,3,+/-
08040932,2868,3,-
08040933,4157,2,+/-
08040934,2679,2,+/-
08041035,8239,2,+/-
08041036,6866,2,+/-
08041037,9865,2,+/-
08041038,7011,2,+/-
08041039,3870,2,+/-
08041040,7930,2,+/-
09010101,12471,2,+/-
09010102,69,,
09010201,4341,2,+/-
09010202,6980,2,+/-
09010301,15668,2,+/-
09010302,2894,1,+/-
09010401,8503,2,+/-
09010402,11436,2,+/-
09020501,7398,3,+/-
09020502,15732,2,+/-
09020601,8970,2,-
09020602,3587,2,+/-
09020701,2763,1,+/-
09020702,16805,2,+/-
09020801,2948,2,+/-
09020802,7916,2,+/-
09030901,13213,1,+/-
09030902,5665,3,+/-
09030903,8167,2,-
09031001,13117,2,+/-
09031101,6530,2,+/-
09031201,1833,1,+/-
09031202,2577,1,+/-
09041301,14701,2,+/-
09041302,1898,1,+/-
09041401,4833,2,+/-
09041402,1558,2,-
09041501,7712,2,+/-
09041601,6755,1,+/-
09051701,4052,2,-
09051702,15002,2,+/-
09051801,9477,1,+/-
09051901,11304,2,+/-
09052001,12900,2,+/-
10010101,5752,3,+/-
10010102,18455,3,+
10010203,1330,,
10010204,10747,2,+/-
10010205,8172,2,+/-
10010206,17600,2,+/-
10010207,10733,2,+
10010308,2187,2,+/-
10010309,14391,2,+/-
10010310,18199,2,+/-
10010311,3695,2,+/-
10020412,6835,4,+
10020413,16114,2,+/-
10020414,1676,2,+
10020415,5776,4,+
10020416,5646,3,+
10020517,9213,2,+/-
10020518,5314,2,+/-
10020519,6105,3,+
10020620,3367,2,+/-
10020621,6329,3,-
10020622,8634,2,+/-
10020623,6527,2,+/-
10030724,7871,1,+/-
10030725,6311,2,+/-
10030726,3497,2,-
10030727,9733,1,+/-
10040828,7805,2,+/-
10040829,3923,2,-
10040830,7646,1,+/-
10040931,9714,1,+/-
10040932,4273,1,+/-
10040933,15169,1,+/-
11010101,648,2,+
11010102,2594,1,+/-
11010103,1541,2,+/-
11010204,8928,3,+/-
11010205,6704,2,+/-
11010206,6078,2,+/-
11010207,7459,2,+/-
11010308,11808,2,+/-
11010309,9715,3,+/-
11010310,5754,2,+/-
11020411,9461,2,-
11020412,6827,2,+/-
11020513,3964,1,+/-
11020514,9628,2,-
11020515,14813,2,+/-
11020516,4033,1,+/-
11030617,6310,3,+/-
11030618,16424,2,+/-
11030619,11012,2,+/-
11030720,5732,2,+/-
11030721,25075,2,+/-
11030824,10084,2,+/-
11040925,4214,2,+/-
11040926,29258,2,+/-
11041022,5507,2,+/-
11041023,6692,2,+
11041027,3022,2,+/-
11041128,25613,2,+/-
11051229,4216,2,-
11051330,9821,2,+/-
11051331,10540,1,+/-
11051332,7018,1,+/-
12103115,7749,3,+/-
12103116,9871,3,+/-
12103117,10930,3,+/-
12103218,13835,2,+/-
12103219,8778,3,+/-
12103220,4633,2,+/-
12214125,7497,2,-
12214126,8106,3,+/-
12214421,2747,3,+/-
12214422,8224,4,+/-
12214423,5694,2,+/-
