id,inhabitants,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years
01011101,3384,2.7978,,7.65366,15.43624,-0.33873,,-0.50305,-5.07658
01011102,196,0,,0,0,0,,0,0
01011103,5038,4.43002,,17.68559,37.5,-0.70792,,-0.05635,3.16717
01011104,4759,4.9452,,18.72242,42.59542,-0.26679,,-1.94085,-3.3184
01011105,1421,0.58366,,2.18156,3.52941,-0.38604,,0.68376,-0.01669
01011201,2405,2.3918,,7.98337,19.02985,-0.16248,,-0.46412,-8.28293
01011202,632,1.25523,,1.58228,11.11111,0.15874,,-0.22693,4.44444
01011203,1115,1.79856,,4.39462,6.25,-1.11921,,0.80896,-4.09483
01011204,8279,2.04932,,7.19894,20.35996,-0.47006,,0.00344,-0.98232
01011301,6919,0.96278,,2.68825,4.26759,-0.25577,,-0.54608,-0.79078
01011302,12572,2.04226,,5.85428,11.10444,-0.24496,,-0.25661,-0.13085
01011303,9999,3.12583,,8.18082,19.9582,-0.47777,,-0.43915,-0.53563
01011304,8761,4.51113,,13.17201,37.41362,-0.8478,,-0.38672,-4.90264
01011305,8243,2.42227,,6.01723,17,-0.61663,,-1.1772,-3.2957
01011306,10607,2.16456,,6.44857,15.70027,-1.02874,,-1.7571,-6.06982
01011401,17948,1.43779,,4.60218,7.8497,-0.42379,,-0.14952,0.57697
01011402,13645,1.18195,,3.26127,3.71415,-0.58611,,-0.06682,-0.24093
01022101,3557,6.65266,,24.009,67.94872,-4.76884,,-3.27663,-0.22171
01022102,6709,6.24299,,22.03011,52.91777,-3.39652,,-2.61689,-4.20641
01022103,272,0,,0,0,0,,0,0
01022104,18974,5.01402,,17.53452,41.11978,-1.54817,,-0.95598,-2.50341
01022105,5426,5.56091,,22.22632,51.68067,-1.95382,,-1.64611,-6.44525
