id,inhabitants,z_s1_percentage_unemployed,z_s2_percentage_long_term_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d2_percentage_long_term_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years
01100101,3419,-0.25328,,-0.40645,-0.30877,-0.9685,-0.3277,mittel,0.40965
01100102,1791,-1.29522,,-1.05422,-0.97314,-3.32258,-1.12421,hoch,-0.91511
01100103,5211,0.11681,,0.65135,0.48583,1.25399,0.42429,mittel,-0.16493
01100104,4636,0.41083,,1.00289,0.92465,2.33837,0.7912,mittel,0.17591
01100205,2573,-0.70959,,-0.64798,-0.28715,-1.64472,-0.5565,mittel,-0.62912
01100206,1803,-0.95636,,-0.84575,-0.69874,-2.50085,-0.84618,mittel,-0.55559
01100207,8312,-0.74874,,-0.60472,-0.33897,-1.69243,-0.57264,mittel,-0.37575
01100308,6967,-1.22114,,-1.17432,-1.19021,-3.58567,-1.21323,hoch,-0.72253
01100309,12352,-0.69206,,-0.64741,-0.70269,-2.04216,-0.69098,mittel,-0.19724
01100310,9903,-0.3723,,-0.37865,-0.24506,-0.99601,-0.33701,mittel,-0.33851
01100311,9013,0.6106,,0.27289,0.85181,1.7353,0.58715,mittel,1.32871
01100312,9422,-0.63975,,-0.77236,-0.63907,-2.05118,-0.69403,mittel,-0.43316
01100313,10779,-0.7174,,-0.65959,-0.49955,-1.87654,-0.63494,mittel,-0.40622
01100414,5178,-1.04738,,-0.94841,-0.90772,-2.90351,-0.98242,mittel,-0.48224
01100415,12593,-0.99189,,-0.91156,-1.04726,-2.95071,-0.99839,mittel,-0.60245
01100416,13443,-0.98149,,-1.03988,-1.1317,-3.15307,-1.06686,hoch,-0.19801
01200517,3725,1.18391,,1.55357,2.05109,4.78857,1.62024,sehr niedrig,0.53442
01200518,6866,1.00205,,1.19512,1.59371,3.79088,1.28267,niedrig,0.69345
01200519,9103,0.91372,,0.76749,1.03943,2.72064,0.92054,mittel,1.22314
01200520,9433,0.38979,,0.37637,0.40321,1.16937,0.39566,mittel,0.56682
01200521,5235,0.90862,,1.37861,1.61271,3.89994,1.31957,niedrig,1.11392
01200522,11333,-0.45135,,-0.47575,-0.65494,-1.58204,-0.53529,mittel,-0.53526
01200623,10825,0.25024,,0.392,0.24767,0.88991,0.30111,mittel,0.67023
01200624,5178,-0.48835,,-0.22209,-0.17035,-0.88079,-0.29802,mittel,-2.8465
01200625,6976,1.5309,,1.59377,1.36704,4.49171,1.5198,sehr niedrig,1.77812
01200626,5935,-0.53219,,-0.36445,-0.47131,-1.36795,-0.46285,mittel,-0.05429
01200627,3280,2.12419,,2.09448,1.30508,5.52375,1.86899,sehr niedrig,3.77947
01200628,3132,-0.67952,,-0.3519,-0.66934,-1.70076,-0.57546,mittel,-1.63844
01200629,5807,-0.79183,,-0.59167,-0.62762,-2.01112,-0.68047,mittel,-0.83267
01300730,7957,2.68434,,2.68179,2.44808,7.81421,2.64398,sehr niedrig,3.24086
01300731,8545,1.92502,,2.17262,2.24823,6.34587,2.14716,sehr niedrig,1.84288
01300732,9879,1.98603,,2.36206,2.22643,6.57452,2.22453,sehr niedrig,1.81631
01300733,11665,1.47128,,1.83194,1.88676,5.18998,1.75606,sehr niedrig,2.01361
01300834,14193,1.86454,,2.3225,1.66733,5.85437,1.98086,sehr niedrig,2.50845
01300835,10443,0.91172,,1.29681,1.2152,3.42373,1.15844,niedrig,1.21853
01300836,14657,1.94007,,2.14416,2.21775,6.30198,2.13231,sehr niedrig,2.1363
01400937,10804,1.05112,,0.9153,1.10239,3.06881,1.03835,niedrig,0.91445
01400938,9725,0.94456,,0.9337,1.30865,3.18691,1.07831,niedrig,1.23293
01400939,5926,1.0469,,0.94242,1.24104,3.23036,1.09301,niedrig,1.3414
01400940,6794,0.99068,,0.79961,1.12884,2.91913,0.9877,mittel,1.37787
01400941,3786,0.70074,,0.43561,1.06918,2.20553,0.74625,mittel,1.2135
01400942,8643,0.74178,,0.88068,1.38956,3.01202,1.01913,niedrig,0.55299
01401043,7739,1.97265,,2.26735,2.14041,6.38041,2.15885,sehr niedrig,1.09073
01401044,10224,1.82446,,2.16665,2.26837,6.25948,2.11793,sehr niedrig,1.86807
01401045,5722,2.01618,,2.32583,2.12531,6.46732,2.18825,sehr niedrig,3.396
01401046,8781,0.70901,,0.57046,0.60978,1.88925,0.63924,mittel,0.50176
01401047,7867,1.01352,,1.1306,1.62996,3.77408,1.27698,niedrig,1.07473
01401048,9098,1.33443,,1.51626,1.64374,4.49443,1.52072,sehr niedrig,0.9123
01401049,6689,2.157,,2.25682,2.4373,6.85112,2.31812,sehr niedrig,1.86246
02100101,6281,1.17402,,1.45021,1.18188,3.80611,1.28782,niedrig,1.37729
02100102,8647,2.06393,,2.32172,1.73508,6.12073,2.07098,sehr niedrig,1.55341
02100103,5382,1.86395,,2.02386,1.57448,5.46229,1.8482,sehr niedrig,1.82914
02100104,5567,2.4023,,2.24055,1.94511,6.58796,2.22907,sehr niedrig,1.2975
02100105,9604,2.70324,,2.66086,2.35959,7.72369,2.61335,sehr niedrig,1.08007
02100106,5009,2.48031,,2.60566,2.23245,7.31842,2.47623,sehr niedrig,2.29511
02200207,2067,-1.34957,,-1.11274,-1.10326,-3.56557,-1.20643,hoch,-1.06929
02200208,6008,0.17796,,0.2072,-0.01118,0.37398,0.12654,mittel,0.03617
